title,date,apply,location,company,hire_time,graduate_time,company_industry,company_size,salary,qualifications
Software Developer Intern,10-04-2025,https://jobright.ai/jobs/info/67f800a7723c779e90a6201a?utm_source=1099&utm_campaign=Software Engineer,"Nashville, TN",HealthStream,,,"E-Learning,Enterprise Software",1001-5000,,"1. Experience with full stack web development
2. Foundational knowledge and experience with html, css, javascript
3. Proficiency with git scm
..."
Software Engineering Intern,10-04-2025,https://jobright.ai/jobs/info/67f7fb238a97a6d8a5f57f0a?utm_source=1099&utm_campaign=Software Engineer,"Melbourne, FL",Terran Orbital Corporation,,,"Aerospace,Machinery Manufacturing",501-1000,,"1. Ability to work on-site in Melbourne, FL
2. Rising junior, senior, or graduate student in an applicable engineering or science discipline
3. Academic excellence (GPA of 3.5 or higher)
..."
"Intern, Information Systems",10-04-2025,https://jobright.ai/jobs/info/67f81932d88f8155040a761e?utm_source=1099&utm_campaign=Software Engineer,"Port Washington, NY",Global Industrial Company,,,"Construction,Industrial",1001-5000,,"1. Proficiency in PHP (Laravel)
2. Proficiency in Python
3. Proficiency in JavaScript
..."
Junior Java Development Intern,10-04-2025,https://jobright.ai/jobs/info/67f81764d88f8155040a7180?utm_source=1099&utm_campaign=Software Engineer,"Paramus, NJ",Veolia North America,,,Water,01-Oct,$20-$24 /hr,"1. High School Diploma/GED is required.
2. Working towards a four-year degree in Computer Science, Data Science, or a related major.
3. 3.2 Cumulative G.P.A required.
..."
Enterprise Architecture Intern,10-04-2025,https://jobright.ai/jobs/info/67f81932d88f8155040a7680?utm_source=1099&utm_campaign=Software Engineer,"Paramus, NJ",Veolia North America,2025-June,2025,Water,01-Oct,$20-$25 /hr,"1. Pursuing a Bachelor's degree in Engineering, Computer Science, or related field (junior/senior year).
2. Keen interest in enterprise architecture and strategic IT planning.
3. Basic understanding of software development concepts and methodologies.
..."
Software Engineer Co-Op,10-04-2025,https://jobright.ai/jobs/info/67f7f8036a0837c24741d953?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Francisco, CA
San Francisco",LiveRamp,,,"Advertising,Advertising Platforms",1001-5000,$30-$30 /hr,"1. Possess strong coding skills that you are ready to turn into industry-ready coding skills
2. Pursuing a degree in Computer Science or other STEM degrees
3. Excited to learn new languages and technologies
..."
Application Development Intern,10-04-2025,https://jobright.ai/jobs/info/67f80e339880e2e05912db43?utm_source=1099&utm_campaign=Software Engineer,"Schaumburg, IL",Sasser Family Companies,2024,,"Asset Management,Railroad",251-500,$17.50-$23.50 /hr,"1. Undergraduate student progressing towards a bachelor’s degree in computer science, business information systems or data analytics.
2. Verbal and written communication skills
3. Analytical and problem-solving skills
..."
Software Engineer Intern- Runtime Visualization,10-04-2025,https://jobright.ai/jobs/info/67f7e0bc6d492977a2da6e0d?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Plus,,,"Artificial Intelligence (AI),Autonomous Vehicles",251-500,$19-$65 /hr,"1. Pursuing a degree in Computer Science, Software Engineering, or a related field
2. Proficiency in C, C++
3. Passion for creating intuitive and visually engaging UI and visualization
..."
Research And Development Intern,10-04-2025,https://jobright.ai/jobs/info/67f7e0bc6d492977a2da6dc0?utm_source=1099&utm_campaign=Software Engineer,"Mebane, NC",AKG of America,,,"Industrial Manufacturing,Machinery Manufacturing",501-1000,,"1. Pursuing a degree in Mechanical Engineering, Electrical Engineering, or a related field (Junior/Senior Year)
2. Strong understanding of programming languages (e.g., MATLAB, C++, or similar)
3. Interest in hardware system design, data analysis, and hands-on work with test equipment
..."
Software Engineer Intern (CRM) - 2025 Summer (BS/MS),10-04-2025,https://jobright.ai/jobs/info/67bef2a8a5865a9d957384c4?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
San Jose",TikTok,2025-Summer,2025,"Content Creators,Content Discovery",10000+,$45-$60 /hr,"1. Currently pursuing a Undergraduate/Graduate/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
2. Able to commit to working for 12 weeks during Summer 2025
3. Experience with coding in Python, Java, Golang, C#, SQL or C++
..."
Pricing Intern,10-04-2025,https://jobright.ai/jobs/info/67f7d5c12aae48b3c045de90?utm_source=1099&utm_campaign=Software Engineer,"Omaha, NE",National Indemnity Company,,,"Financial Services,Insurance",501-1000,,"1. College Junior or Senior
2. Proficiency with SQL server
3. Inquisitive, analytical and able to think critically
..."
Software Engineer Intern - Embedded,10-04-2025,https://jobright.ai/jobs/info/67f7ce3cb54abc922c96b1ed?utm_source=1099&utm_campaign=Software Engineer,"Olathe, KS",Garmin,,,"Consumer Electronics,Electronics",5001-10000,,"1. Completed coursework in Computer Science, Electrical Engineering, Computer Engineering, or a related field
2. Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
3. Must possess relevant experience and/or training in languages such as C, C++, C# or Java
..."
Software Engineer Intern,10-04-2025,https://jobright.ai/jobs/info/67f7eef8eba93f2516c51a66?utm_source=1099&utm_campaign=Software Engineer,"Manassas, VA",VT Group (VTG),2025-May,2025,"Information Technology,Military",5001-10000,,"1. Currently enrolled in a college or university, pursuing a bachelor’s or master’s degree in Electrical Engineering, Computer Engineering, Computer Science, Software Engineering, or Information Technology
2. Extended experience using Linux (RHEL/Centos 7 or 8)
3. Experience with shell scripting languages
..."
Salesforce Development Intern,10-04-2025,https://jobright.ai/jobs/info/67db7cc0ddd72c6778cf1bfe?utm_source=1099&utm_campaign=Software Engineer,United States,Macmillan Learning,2025-Summer,,Education,501-1000,$16.50-$16.50 /hr,"1. Must be currently enrolled in a degree program (Computer Science, Software Engineering, Information Systems, or a related field)
2. Strong problem-solving skills and attention to detail
3. Ability to work collaboratively in a team environment
..."
Software Engineer Intern,10-04-2025,https://jobright.ai/jobs/info/67f7f9b2f7c095012e01bf1d?utm_source=1099&utm_campaign=Software Engineer,"Austin, TX",Electronic Arts (EA),2025-Fall,2026-Summer,"Computer,Mobile",10000+,,"1. ReactJS Expertise: Good knowledge of modern React (Hooks-based) for building dynamic UIs.
2. TypeScript Proficiency: Good knowledge of TypeScript for type-safe development.
3. Form Handling: Familiarity with React form libraries like Formik or React Hook Form for form validation and state management.
..."
Software Development Intern,10-04-2025,https://jobright.ai/jobs/info/66ca0a763673251f8b24f33d?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Lincoln, NE
Scottsdale, AZ",Sandhills Global,,,"Agriculture,Automotive",1001-5000,$25-$25 /hr,"1. Ability to commute when scheduled to the local office is required
2. Excellent oral and written communication skills
3. Able to work independently and communicate within a team environment
..."
Android CICD Developer Intern,10-04-2025,https://jobright.ai/jobs/info/67f7c52e81089cbf4c6eabaa?utm_source=1099&utm_campaign=Software Engineer,"Logan, UT",iFIT,,,"Fitness,Subscription Service",1001-5000,,"1. Assist in maintaining and improving CI/CD pipelines to enhance Android developer productivity.
2. Work on automation related to Pull Requests, App Builds, and Slackbots to streamline development workflows.
3. Collaborate with the Senior Android CICD Developer to implement new CI/CD features and optimize existing configurations.
..."
Enterprise Architecture Intern,10-04-2025,https://jobright.ai/jobs/info/67f7c52e81089cbf4c6eac76?utm_source=1099&utm_campaign=Software Engineer,"Ramsey, NJ",Konica Minolta Business Solutions Canada,,,"Consumer Electronics,Retail",501-1000,,"1. Rising Junior or Rising Senior pursuing a bachelor's degree in a related field
2. Currently enrolled in an accredited 4-year college or university
3. Strong analytical and problem-solving skills
..."
Software Developer 2025 Summer Intern,10-04-2025,https://jobright.ai/jobs/info/67bf63bbbf38b04fbe0124a7?utm_source=1099&utm_campaign=Software Engineer,"Washington, DC",U.S. News & World Report,2025-June,,"Education,Events",251-500,$17.50-$17.50 /hr,"1. Eligible candidates must be one of the following: Part-time or full-time students who have completed 48+ credit hours (rising juniors/seniors and graduate students) and are enrolled in an undergraduate program at an accredited college or university.
2. Part-time or full-time students enrolled in a graduate program at an accredited college or university.
3. Ability to exercise sound judgment, professionalism and maturity in the workplace.
..."
Algorithm Engineer Intern (Multimedia Lab - Video Processing and Enhancement) - 2025 Summer (PhD),10-04-2025,https://jobright.ai/jobs/info/67bee0656a6a0ad56479f2e8?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-May,,"Content,Data Mining",10000+,$60-$60 /hr,"1. PhD student in Computer Science, Electrical Engineering, or equivalent fields.
2. Strong knowledge and solid experience in one of the following areas: video processing, computer vision, video coding.
3. Strong research experience, with a priority given to those who have published papers in top conferences and journals such as CVPR, ICCV, ECCV.
..."
IT Architecture / Research Intern,10-04-2025,https://jobright.ai/jobs/info/67bf5d8b4ab5e9591419b2fa?utm_source=1099&utm_campaign=Software Engineer,"Davidson, NC",Ingersoll Rand,2025-Summer,2025,Test and Measurement,10000+,$23-$26 /hr,"1. Follow and execute directives issued by senior employees.
2. Research architecture best practices.
3. Establish architecture review processes cadence, meetings.
..."
2025 Summer Internship | Commercial IT Product,10-04-2025,https://jobright.ai/jobs/info/67f7e150dfe375f27d46ce1f?utm_source=1099&utm_campaign=Software Engineer,"Miami, FL",Royal Caribbean Group,2025-June,2025-December / 2026-May,Travel,10000+,,"1. Currently enrolled in a 4-year Bachelor degree program in Engineering, Computer Science, Information Technology, Math or related field with an expected graduation date of December 2025 or May 2026.
2. Must be willing to be based in South Florida from June 2nd – August 8th, 2025
3. Must have authorization to work in the U.S. on a permanent and ongoing basis
..."
Innovation & Automation Software Development Intern,10-04-2025,https://jobright.ai/jobs/info/67f7b22dd718a26af323592a?utm_source=1099&utm_campaign=Software Engineer,United States,Leidos,,,"Computer,Government",10000+,$47K-$85K /yr,"1. US Citizenship Requirements
2. Currently enrolled in a Bachelor’s degree program at the Junior/Senior level, or Master’s degree program in Computer Science, Information Systems, Business Analytics, or related field at an accredited college/university.
3. Proficiency in Microsoft Excel for data analysis, reporting, and visualization.
..."
Summer Intern - Defense Digital Engineering,10-04-2025,https://jobright.ai/jobs/info/67f7b22dd718a26af3235929?utm_source=1099&utm_campaign=Software Engineer,United States,Leidos,2025-Summer,,"Computer,Government",10000+,$55K-$100K /yr,"1. Currently enrolled in an accredited college or university and pursuing a Doctoral Degree in Computer Science, Engineering, Physics, Mathematics, or a related technical degree, and have at least a 3.2 GPA.
2. Must be available to work at least 10 weeks full time as an intern.
3. U.S. Citizenship required and must be eligible to obtain a U.S. Government granted security clearance.
..."
Technology Summer Intern - Quality Assurance,10-04-2025,https://jobright.ai/jobs/info/67f7c9a76714bc3dc2b36b5e?utm_source=1099&utm_campaign=Software Engineer,"Berkeley Heights, NJ",Fiserv,2025-June,2025 / 2027,"Financial Services,FinTech",10000+,,"1. Progress towards completion of bachelor's degree by December 2025 / May 2027 with demonstrated academic achievement
2. 3.0+ GPA
3. Knowledge in Java, JavaScript, Python, SQL, C#, .NET, or PowerBi
..."
Information Technology Intern [2025 Internship Program],10-04-2025,https://jobright.ai/jobs/info/67f7aa094cff64b3b4d8cb03?utm_source=1099&utm_campaign=Software Engineer,"Tampa, FL",The Depository Trust & Clearing Corporation (DTCC),2025-Summer,,"Finance,Financial Exchanges",1001-5000,,"1. Candidates must be working towards a bachelor’s degree in the following curriculums: Business, Computer Science, Computer Engineering, MIS or Business & Technology Management
2. Candidates must have authorization to work permanently in the US without the need for sponsorship (now or in the future)
3. Candidates must have minimum of a 3.2 GPA to be considered
..."
Intern- Engineering & Technology (I2C),10-04-2025,https://jobright.ai/jobs/info/67bf7d9dd13e3e5496cd97b2?utm_source=1099&utm_campaign=Software Engineer,"Fremont, CA",Coherent Corp.,,,"Aerospace,Industrial",10000+,$30-$46 /hr,"1. Currently pursuing a Bachelor's or Master's degree in Electrical Engineering, Computer Science, Embedded Systems, or a related field.
2. Familiarity with Python programming.
3. Experience with .NET and C# development for test automation or embedded systems.
..."
Software Engineering Intern,10-04-2025,https://jobright.ai/jobs/info/67f7c6da81089cbf4c6eb345?utm_source=1099&utm_campaign=Software Engineer,SD Metro Area,Resmed,2025-Summer,2025,"Health Care,Health Diagnostics",5001-10000,$22.50-$41.50 /hr,"1. Ability to work full-time for 12 weeks during Summer 2025; program dates are May 19, 2025 – August 8, 2025 OR June 16, 2025 – September 5, 2025
2. Computer Science academic studies that will lead to a Bachelor's or Master's Degree (Computer Science, Software Engineering, or Electrical Engineering)
3. Experience with programming languages such as Java, Python, or C++"
Platform Engineering Intern,10-04-2025,https://jobright.ai/jobs/info/67f7c6da81089cbf4c6eb349?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
SD Metro Area
US San Diego Corporate",Resmed,2025-Summer,2025,"Health Care,Health Diagnostics",5001-10000,$22.50-$41.50 /hr,"1. Ability to work full-time for 12 weeks during Summer 2025; program dates are May 19, 2025 – August 8, 2025 OR June 16, 2025 – September 5, 2025
2. Pursuing a bachelor’s degree or higher in Computer Science, Computer Engineering, Information Technology, or related field
3. Strong knowledge of computer science fundamentals and at-least one programming language such as Java, JavaScript, Python, Go, Typescript etc.
..."
Software Engineering & Meteorology Internship (Must be located in Maine!),10-04-2025,https://jobright.ai/jobs/info/67f7c52e81089cbf4c6eaec3?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Maine, United States
Maine",NextGen Federal Systems,May,,"Enterprise Software,Information Services",101-250,,"1. U.S. Citizenship required
2. Major in computer science, engineering, meteorology, atmospheric science, AI/ML, or related fields
3. Proficiency in programming languages (Python, JavaScript, etc.)
..."
"Software Engineering, HRIS Intern",10-04-2025,https://jobright.ai/jobs/info/67f7c52e81089cbf4c6eaed8?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Beverly Hills, CA
Beverly Hills, California, United States",Alo Yoga,2024-June,,"Apparel,Fashion",501-1000,$25-$25 /hr,"1. Currently pursuing or recently completed a degree in Computer Science.
2. Project development and planning skills.
3. Innovative and learner.
..."
Software Developer Co-op,10-04-2025,https://jobright.ai/jobs/info/67f7bbddbd5791c69c165b38?utm_source=1099&utm_campaign=Software Engineer,"Bethesda, MD",Leidos,2025-May,2025,"Computer,Government",10000+,$47K-$85K /yr,"1. MUST be pursuing a Bachelor’s Degree in Computer Science, Computer Engineering, or a related technical degree
2. have at least a 3.2 GPA
3. be able to demonstrate software development skills
..."
Software Engineering Intern - Junos (Summer 2025),10-04-2025,https://jobright.ai/jobs/info/67f7bb1379f363f95fdc1d4b?utm_source=1099&utm_campaign=Software Engineer,"Sunnyvale, CA",Juniper Networks,2025-Summer,2025,"Communication Hardware,DevOps",5001-10000,$84000.80-$120750.55 /yr,"1. Current enrollment in a relevant Bachelor's or Master's program with a graduation date of Dec 2025 or later
2. Deep exposure to using AI techniques, tools, frameworks
3. Excellent Go/Python programming skills, with emphasis on writing scalable code. UNIX scripting skills will be an added advantage. C/C++ programming knowledge is preferable
..."
Software Engineering Intern,10-04-2025,https://jobright.ai/jobs/info/67e4c1ec15e0821e44945a29?utm_source=1099&utm_campaign=Software Engineer,"Dallas, TX",Copart,,,"Automotive,E-Commerce",5001-10000,,"1. Completed Bachelor's Degree in Computer Science
2. Develop efficient, secure applications, peer-review code, and document solutions within an agile-blended software environment
3. Collaborate with other senior engineers, and management, to achieve optimal application design
..."
Software Engineer Intern- Voice,10-04-2025,https://jobright.ai/jobs/info/67f787ca4a71cea866a50d28?utm_source=1099&utm_campaign=Software Engineer,"Seattle, WA",Qualtrics,,2026,"Consumer,Data Integration",5001-10000,$23.50-$39 /yr,"1. Currently working on a bachelor’s degree in Computer Science or Software Engineering, with an anticipated graduation date no later than 2026
2. Experience with any of the technologies we support (Go, JavaScript/Typescript/NodeJS, SQL, MongoDB, AWS, React, HTML/CSS)
3. Ability to work from our Seattle, WA office 3 days/week
..."
Software Engineering Intern - Collect Platform,10-04-2025,https://jobright.ai/jobs/info/67f787ca4a71cea866a50d23?utm_source=1099&utm_campaign=Software Engineer,"Provo, UT",Qualtrics,,2026,"Consumer,Data Integration",5001-10000,,"1. Currently working on a bachelor’s degree in Computer Science or Software Engineering, with an anticipated graduation date no later than 2026
2. Experience with any of the technologies we support (Go, JavaScript/Typescript/NodeJS, SQL, MongoDB, AWS, React, HTML/CSS)
3. Ability to work from our Provo, UT office 3 days/week
..."
Software Engineer Intern - Design Systems (Summer),10-04-2025,https://jobright.ai/jobs/info/67f787ca4a71cea866a50c47?utm_source=1099&utm_campaign=Software Engineer,"Palo Alto, CA",Glean,Summer,,"Artificial Intelligence (AI),Generative AI",501-1000,,"1. Strong foundation in CS and software development fundamentals
2. Familiarity with front-end technologies such as React, TypeScript, Javascript, HTML, and CSS
3. Passion for design systems, UI/UX, front end and building reusable, scalable components
..."
Quality Assurance Intern,10-04-2025,https://jobright.ai/jobs/info/67f77a4242d0db7cfbab31c6?utm_source=1099&utm_campaign=Software Engineer,"Newark, CA",Bio-Techne,Summer,,"Biotechnology,Manufacturing",1001-5000,$19.20-$26.40 /hr,"1. must be a currently enrolled student pursuing a graduate-level degree in a field relevant to the internship
2. must be a currently enrolled student pursuing a Bachelor's degree in a field relevant to the internship
3. must have completed (at minimum) the sophomore year of college
..."
Computer Engineer Intern (SAS),10-04-2025,https://jobright.ai/jobs/info/67ec6f5d4512cc225a6f12c2?utm_source=1099&utm_campaign=Software Engineer,"Denver, CO",POWER Engineers,Summer,,"Consulting,Energy",1001-5000,$20-$30 /hr,"1. Pursuit of a bachelor's degree in computer or electrical engineering from an accredited university
2. Successful completion of entry-level courses in engineering or computer science
3. Good written and verbal communication skills in order to work effectively with internal team members
..."
"Internship, Thermal Systems Embedded Software Engineer, Vehicle Firmware (Fall 2025)",09-04-2025,https://jobright.ai/jobs/info/67f74cfeaadfcc406b3e4ab4?utm_source=1099&utm_campaign=Software Engineer,"Palo Alto, CA",Tesla,2025-August,2025-December / 2026-December,"Automotive,Electric Vehicle",10000+,$36.06-$56.12 /hr,"1. Currently pursuing a degree in Mechatronics, Electrical Engineering, Computer Engineering, Systems Engineering, or a related field of study with a graduation date between December 2025-December 2026
2. Proficiency in C and real time embedded environments
3. Proficiency in Python
..."
Quality Assurance Intern,09-04-2025,https://jobright.ai/jobs/info/67f74cfeaadfcc406b3e4a57?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Amesbury, MA
US - Amesbury (MA)",Munters,,,"Energy,Industrial Engineering",5001-10000,,"1. Ability to learn and master ETQ Reliance
2. Ability to leverage and employ good datamining best practices, e.g., Visual Display of Quantitative Information (Tufte)
3. Computer experience with Microsoft Office products; willing to learn other software programs
..."
IT QA Intern,09-04-2025,https://jobright.ai/jobs/info/67f0988abc5898b815594471?utm_source=1099&utm_campaign=Software Engineer,"Des Moines, IA","Maverik, Inc.",2025-June,2025,Retail,5001-10000,$15-$15 /hr,"1. A full-time college student that has completed their sophomore year by the beginning of the internship.
2. Currently enrolled at an accredited university seeking a degree related to the position.
3. Must be authorized to work in the U.S.
..."
Tech Program Intern III (Mobile Development),09-04-2025,https://jobright.ai/jobs/info/67f746119b35639a1aeedee1?utm_source=1099&utm_campaign=Software Engineer,"Portland, OR",XPO,,,"Logistics,Shipping Broker",10000+,,"1. High school diploma or equivalent and currently pursuing a bachelor’s degree
2. 2 or more years of relevant undergraduate coursework
3. Experience with Microsoft Office (Word, Excel, PowerPoint and Outlook)
..."
Digital Implementation Flow Intern,09-04-2025,https://jobright.ai/jobs/info/67f7441eccfd5a5b5ae36ea5?utm_source=1099&utm_campaign=Software Engineer,"Sunnyvale, CA",Synopsys Inc,2025-May,,"Electronic Design Automation (EDA),Information Services",10000+,,"1. Currently pursuing a bachelor’s or master's degree in Electronic Engineering, Computer Science, or related field in the penultimate year of study.
2. Good analytical and problem-solving skills.
3. Fluency in Python and C++ programming."
Cloud Engineer - Summer Internship 2025,09-04-2025,https://jobright.ai/jobs/info/67f73ace803dd81500ca45d8?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Quincy, MA
Quincy, Massachusetts",State Street,2025-June,,"Banking,Finance",10000+,$15600-$58500 /yr,"1. Programming Skills: Proficiency in programming languages like Python, JavaScript etc.
2. Currently enrolled in Bachelors/master's in computer science, Information Technology or similar field.
3. Familiarity with Terraform, Harness or other tools for managing and provisioning IaC.
..."
Software Engineer Intern,09-04-2025,https://jobright.ai/jobs/info/67f73ace803dd81500ca444e?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
New York, NY
Princeton, NJ",S&P Global,2025-Summer,2026 / 2027,"Analytics,Business Intelligence",10000+,$25-$30 /hr,"1. Current students pursuing a Bachelor of Science in Computer Science, Electrical or Computer Engineering, Information Technology, or relevant field, preferably graduating in 2026 or 2027.
2. Foundational knowledge of programming languages (Python, JavaScript, Java, .NET, etc.), databases, data structures, and algorithms.
3. Ability to thrive in a fast-paced, collaborative environment.
..."
Internship - Software Engineering,09-04-2025,https://jobright.ai/jobs/info/67f73846571176c497471057?utm_source=1099&utm_campaign=Software Engineer,"El Segundo, California, United States",Radiant,,,"Clean Energy,Energy",101-250,,"1. Currently pursuing a degree in computer science, physics, or a related technical discipline.
2. Familiarity with Python, C++, C#, or similar object-oriented programming languages.
3. Basic knowledge of software development practices and version control tools such as Git."
"Software Engineering Intern Level C (Alpharetta, GA)",09-04-2025,https://jobright.ai/jobs/info/67f73846571176c4974713ed?utm_source=1099&utm_campaign=Software Engineer,"Alpharetta, GA",L3Harris Technologies,,,"Commercial,Information Technology",10000+,,"1. Pursuing a Bachelor’s degree in Computer Science, Computer Engineering, Software Engineering, Electrical Engineering, Wireless Engineering, Information Security, Mathematics, Digital Arts & Sciences or related field"
Information Technology Intern,09-04-2025,https://jobright.ai/jobs/info/67f72c49c8d8c03bfe3dd40e?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
New York, NY
Chicago, IL",Newmark,,,"Advice,Commercial Real Estate",5001-10000,$25-$30 /hr,"1. Currently pursuing a degree in Computer Science, Information Technology, or a related field. Recent graduates are also welcome to apply.
2. Strong passion for technology and a desire to learn and grow in the industry.
3. Basic understanding of programming languages, software development methodologies, and hardware components.
..."
"Summer Intern – Firmware Engineer, Hague Road Technical Center – Indianapolis, Indiana",09-04-2025,https://jobright.ai/jobs/info/67f72c49c8d8c03bfe3dd3fc?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Greater Indianapolis
Indianapolis, IN - Hague Rd",Allegion,2024-Summer,,"Electronics,Manufacturing",5001-10000,,"1. Pursuing a degree in a relevant discipline, e.g., Computer Science, Computer Engineering, Electrical Engineering, Computer Engineering Technology, and Electrical Engineering Technology.
2. Demonstrated leadership ability and initiative, e.g., school club officer, sports team captain, resident advisor, leadership on school or work projects, etc.
3. At least one class in C programming language. Preference is mid-level proficiency in C.
..."
Computation Intern,09-04-2025,https://jobright.ai/jobs/info/67f74427bcfd3f134df79889?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Austin, TX
San Antonio, TX
Round Rock, TX",HDR,,,"Architecture,Consulting",5001-10000,,"1. Currently enrolled in an undergraduate or graduate Engineering program
2. Attention to detail
3. Possess strong problem-solving and communication skills
..."
"Software Engineering Intern Level D (Alpharetta, GA)",09-04-2025,https://jobright.ai/jobs/info/67f74427bcfd3f134df79914?utm_source=1099&utm_campaign=Software Engineer,"Alpharetta, GA",L3Harris Technologies,,,"Commercial,Information Technology",10000+,,"1. Pursuing a Bachelor’s degree in Computer Science, Computer Engineering, Software Engineering, Electrical Engineering, Wireless Engineering, Information Security, Mathematics, Digital Arts & Sciences or related field"
